timestamp,instance,algorithm,best_objective,best_distance,time_violation,capacity_violation,vehicle_violation,routes,runtime_ms,solutions_evaluated,generated_relocate,generated_swap,generated_noop,penalty_weight,enforce_time_windows,max_vehicles,parameters
2026-04-28 00:25:19,data101.vrp,SA,1171.308347106847,1171.308347106847,14727.77972772118,0.0,0.0,8,77,30001,30000,0,0,1000.0,False,2147483647,iterations=30000; seed=66571993160; initialTemp=1250.0; coolingRate=0.9993; interNeighborhoodType=relocate; intraNeighborhoodType=relocate; vehicleLimit=2147483647
2026-04-28 00:25:20,data101.vrp,SA,1053.1109513176195,1053.1109513176195,14550.862235051016,0.0,0.0,8,175,100001,100000,0,0,1000.0,False,2147483647,iterations=100000; seed=66571993160; initialTemp=1250.0; coolingRate=0.9993; interNeighborhoodType=relocate; intraNeighborhoodType=relocate; vehicleLimit=2147483647
2026-04-28 00:45:30,data101.vrp,SA,2399.537462011285,2399.537462011285,0.0,0.0,0.0,27,49,10001,10000,0,0,1000.0,True,2147483647,iterations=10000; seed=66571993160; initialTemp=1250.0; coolingRate=0.9993; interNeighborhoodType=relocate; intraNeighborhoodType=relocate; vehicleLimit=2147483647
2026-04-28 00:45:30,data101.vrp,SA,2002.646769532648,2002.646769532648,0.0,0.0,0.0,23,107,30001,30000,0,0,1000.0,True,2147483647,iterations=30000; seed=66571993160; initialTemp=1250.0; coolingRate=0.9993; interNeighborhoodType=relocate; intraNeighborhoodType=relocate; vehicleLimit=2147483647
2026-04-22 19:46:01,data101.vrp,SA,1235.4350234613469,1235.4350234613469,15271.618187781623,0.0,0.0,8,84,30001,30000,0,0,1000.0,False,2147483647,iterations=30000; seed=66571993098; initialTemp=1250.0; coolingRate=0.9997; interNeighborhoodType=relocate; intraNeighborhoodType=relocate; vehicleLimit=2147483647
2026-04-28 00:45:31,data101.vrp,SA,1909.0423130173856,1909.0423130173856,0.0,0.0,0.0,22,203,100001,100000,0,0,1000.0,True,2147483647,iterations=100000; seed=66571993160; initialTemp=1250.0; coolingRate=0.9993; interNeighborhoodType=relocate; intraNeighborhoodType=relocate; vehicleLimit=2147483647
2026-04-28 01:16:39,data101.vrp,SA,1473.7356104149874,1473.7356104149874,16592.56293381001,0.0,0.0,8,63,10001,10000,0,0,1000.0,False,2147483647,iterations=10000; seed=66571993161; initialTemp=1250.0; coolingRate=0.9993; interNeighborhoodType=relocate; intraNeighborhoodType=relocate; vehicleLimit=2147483647
2026-04-28 01:16:39,data101.vrp,SA,1086.2219164611304,1086.2219164611304,14176.532524631602,0.0,0.0,8,79,30001,30000,0,0,1000.0,False,2147483647,iterations=30000; seed=66571993161; initialTemp=1250.0; coolingRate=0.9993; interNeighborhoodType=relocate; intraNeighborhoodType=relocate; vehicleLimit=2147483647
2026-04-28 01:16:40,data101.vrp,SA,1016.830901676539,1016.830901676539,13602.027100228286,0.0,0.0,8,177,100001,100000,0,0,1000.0,False,2147483647,iterations=100000; seed=66571993161; initialTemp=1250.0; coolingRate=0.9993; interNeighborhoodType=relocate; intraNeighborhoodType=relocate; vehicleLimit=2147483647
2026-04-28 01:36:19,data101.vrp,SA,2462.894195101251,2462.894195101251,0.0,0.0,0.0,28,48,10001,10000,0,0,1000.0,True,2147483647,iterations=10000; seed=66571993161; initialTemp=1250.0; coolingRate=0.9993; interNeighborhoodType=relocate; intraNeighborhoodType=relocate; vehicleLimit=2147483647
2026-04-28 01:36:19,data101.vrp,SA,1956.77053670926,1956.77053670926,0.0,0.0,0.0,24,84,30001,30000,0,0,1000.0,True,2147483647,iterations=30000; seed=66571993161; initialTemp=1250.0; coolingRate=0.9993; interNeighborhoodType=relocate; intraNeighborhoodType=relocate; vehicleLimit=2147483647
2026-04-28 01:36:20,data101.vrp,SA,1877.8135559222544,1877.8135559222544,0.0,0.0,0.0,23,217,100001,100000,0,0,1000.0,True,2147483647,iterations=100000; seed=66571993161; initialTemp=1250.0; coolingRate=0.9993; interNeighborhoodType=relocate; intraNeighborhoodType=relocate; vehicleLimit=2147483647
2026-04-28 02:08:26,data101.vrp,SA,1573.451077878402,1573.451077878402,16196.04168839152,0.0,0.0,8,57,10001,10000,0,0,1000.0,False,2147483647,iterations=10000; seed=66571993162; initialTemp=1250.0; coolingRate=0.9993; interNeighborhoodType=relocate; intraNeighborhoodType=relocate; vehicleLimit=2147483647
