"penalty","temp","cooling","iterations","seed"
"1000","500","0,998","50000","101"
"1000","500","0,998","50000","102"
"1000","500","0,998","50000","103"
"1000","500","0,998","100000","101"
"1000","500","0,998","100000","102"
"1000","500","0,998","100000","103"
"1000","500","0,9993","50000","101"
"1000","500","0,9993","50000","102"
"1000","500","0,9993","50000","103"
"1000","500","0,9993","100000","101"
"1000","500","0,9993","100000","102"
"1000","500","0,9993","100000","103"
"1000","500","0,9995","50000","101"
"1000","500","0,9995","50000","102"
"1000","500","0,9995","50000","103"
"1000","500","0,9995","100000","101"
"1000","500","0,9995","100000","102"
"1000","500","0,9995","100000","103"
"1000","500","0,999","50000","101"
"1000","500","0,999","50000","102"
"1000","500","0,999","50000","103"
"1000","500","0,999","100000","101"
"1000","500","0,999","100000","102"
"1000","500","0,999","100000","103"
"1000","1000","0,998","50000","101"
"1000","1000","0,998","50000","102"
"1000","1000","0,998","50000","103"
"1000","1000","0,998","100000","101"
"1000","1000","0,998","100000","102"
"1000","1000","0,998","100000","103"
"1000","1000","0,9993","50000","101"
"1000","1000","0,9993","50000","102"
"1000","1000","0,9993","50000","103"
"1000","1000","0,9993","100000","101"
"1000","1000","0,9993","100000","102"
"1000","1000","0,9993","100000","103"
"1000","1000","0,9995","50000","101"
"1000","1000","0,9995","50000","102"
"1000","1000","0,9995","50000","103"
"1000","1000","0,9995","100000","101"
"1000","1000","0,9995","100000","102"
"1000","1000","0,9995","100000","103"
"1000","1000","0,999","50000","101"
"1000","1000","0,999","50000","102"
"1000","1000","0,999","50000","103"
"1000","1000","0,999","100000","101"
"1000","1000","0,999","100000","102"
"1000","1000","0,999","100000","103"
"1000","1250","0,998","50000","101"
"1000","1250","0,998","50000","102"
"1000","1250","0,998","50000","103"
"1000","1250","0,998","100000","101"
"1000","1250","0,998","100000","102"
"1000","1250","0,998","100000","103"
"1000","1250","0,9993","50000","101"
"1000","1250","0,9993","50000","102"
"1000","1250","0,9993","50000","103"
"1000","1250","0,9993","100000","101"
"1000","1250","0,9993","100000","102"
"1000","1250","0,9993","100000","103"
"1000","1250","0,9995","50000","101"
"1000","1250","0,9995","50000","102"
"1000","1250","0,9995","50000","103"
"1000","1250","0,9995","100000","101"
"1000","1250","0,9995","100000","102"
"1000","1250","0,9995","100000","103"
"1000","1250","0,999","50000","101"
"1000","1250","0,999","50000","102"
"1000","1250","0,999","50000","103"
"1000","1250","0,999","100000","101"
"1000","1250","0,999","100000","102"
"1000","1250","0,999","100000","103"
"1000","1500","0,998","50000","101"
"1000","1500","0,998","50000","102"
"1000","1500","0,998","50000","103"
"1000","1500","0,998","100000","101"
"1000","1500","0,998","100000","102"
"1000","1500","0,998","100000","103"
"1000","1500","0,9993","50000","101"
"1000","1500","0,9993","50000","102"
"1000","1500","0,9993","50000","103"
"1000","1500","0,9993","100000","101"
"1000","1500","0,9993","100000","102"
"1000","1500","0,9993","100000","103"
"1000","1500","0,9995","50000","101"
"1000","1500","0,9995","50000","102"
"1000","1500","0,9995","50000","103"
"1000","1500","0,9995","100000","101"
"1000","1500","0,9995","100000","102"
"1000","1500","0,9995","100000","103"
"1000","1500","0,999","50000","101"
"1000","1500","0,999","50000","102"
"1000","1500","0,999","50000","103"
"1000","1500","0,999","100000","101"
"1000","1500","0,999","100000","102"
"1000","1500","0,999","100000","103"
"1000","2000","0,998","50000","101"
"1000","2000","0,998","50000","102"
"1000","2000","0,998","50000","103"
"1000","2000","0,998","100000","101"
"1000","2000","0,998","100000","102"
"1000","2000","0,998","100000","103"
"1000","2000","0,9993","50000","101"
"1000","2000","0,9993","50000","102"
"1000","2000","0,9993","50000","103"
"1000","2000","0,9993","100000","101"
"1000","2000","0,9993","100000","102"
"1000","2000","0,9993","100000","103"
"1000","2000","0,9995","50000","101"
"1000","2000","0,9995","50000","102"
"1000","2000","0,9995","50000","103"
"1000","2000","0,9995","100000","101"
"1000","2000","0,9995","100000","102"
"1000","2000","0,9995","100000","103"
"1000","2000","0,999","50000","101"
"1000","2000","0,999","50000","102"
"1000","2000","0,999","50000","103"
"1000","2000","0,999","100000","101"
"1000","2000","0,999","100000","102"
"1000","2000","0,999","100000","103"
"5000","500","0,998","50000","101"
"5000","500","0,998","50000","102"
"5000","500","0,998","50000","103"
"5000","500","0,998","100000","101"
"5000","500","0,998","100000","102"
"5000","500","0,998","100000","103"
"5000","500","0,9993","50000","101"
"5000","500","0,9993","50000","102"
"5000","500","0,9993","50000","103"
"5000","500","0,9993","100000","101"
"5000","500","0,9993","100000","102"
"5000","500","0,9993","100000","103"
"5000","500","0,9995","50000","101"
"5000","500","0,9995","50000","102"
"5000","500","0,9995","50000","103"
"5000","500","0,9995","100000","101"
"5000","500","0,9995","100000","102"
"5000","500","0,9995","100000","103"
"5000","500","0,999","50000","101"
"5000","500","0,999","50000","102"
"5000","500","0,999","50000","103"
"5000","500","0,999","100000","101"
"5000","500","0,999","100000","102"
"5000","500","0,999","100000","103"
"5000","1000","0,998","50000","101"
"5000","1000","0,998","50000","102"
"5000","1000","0,998","50000","103"
"5000","1000","0,998","100000","101"
"5000","1000","0,998","100000","102"
"5000","1000","0,998","100000","103"
"5000","1000","0,9993","50000","101"
"5000","1000","0,9993","50000","102"
"5000","1000","0,9993","50000","103"
"5000","1000","0,9993","100000","101"
"5000","1000","0,9993","100000","102"
"5000","1000","0,9993","100000","103"
"5000","1000","0,9995","50000","101"
"5000","1000","0,9995","50000","102"
"5000","1000","0,9995","50000","103"
"5000","1000","0,9995","100000","101"
"5000","1000","0,9995","100000","102"
"5000","1000","0,9995","100000","103"
"5000","1000","0,999","50000","101"
"5000","1000","0,999","50000","102"
"5000","1000","0,999","50000","103"
