"timestamp","status","index","total","instance","enforce_time_windows","seed","scenario","algo","message"
"2026-04-23 16:02:23","ok","51","1800","data/data101.vrp","non","44","TABU_intra_2opt_baseline","tabu",""
"2026-04-23 16:02:23","ok","52","1800","data/data101.vrp","non","44","SA_tuning_T1000_C09995","sa",""
"2026-04-23 16:02:24","ok","53","1800","data/data101.vrp","non","44","SA_tuning_T1250_C09993","sa",""
"2026-04-23 16:02:24","ok","54","1800","data/data101.vrp","non","44","SA_tuning_T1250_C09995","sa",""
"2026-04-23 16:02:25","ok","55","1800","data/data101.vrp","non","44","SA_tuning_T1250_C09997","sa",""
"2026-04-23 16:02:25","ok","56","1800","data/data101.vrp","non","44","SA_tuning_T1400_C09995","sa",""
"2026-04-23 16:06:52","ok","57","1800","data/data101.vrp","non","44","TABU_tuning_tenure_40","tabu",""
"2026-04-23 16:11:14","ok","58","1800","data/data101.vrp","non","44","TABU_tuning_tenure_50","tabu",""
"2026-04-23 16:35:30","ok","59","1800","data/data101.vrp","non","44","TABU_tuning_tenure_60","tabu",""
"2026-04-23 16:39:55","ok","60","1800","data/data101.vrp","non","44","TABU_tuning_tenure_70","tabu",""
"2026-04-23 16:39:56","ok","61","1800","data/data101.vrp","non","45","SA_inter_relocate_baseline","sa",""
"2026-04-23 16:39:56","ok","62","1800","data/data101.vrp","non","45","SA_inter_exchange_baseline","sa",""
"2026-04-23 16:39:57","ok","63","1800","data/data101.vrp","non","45","SA_intra_2opt_baseline","sa",""
"2026-04-23 16:44:21","ok","64","1800","data/data101.vrp","non","45","TABU_inter_relocate_baseline","tabu",""
"2026-04-23 16:46:05","ok","65","1800","data/data101.vrp","non","45","TABU_inter_exchange_baseline","tabu",""
"2026-04-23 16:46:19","ok","66","1800","data/data101.vrp","non","45","TABU_intra_2opt_baseline","tabu",""
"2026-04-23 16:46:19","ok","67","1800","data/data101.vrp","non","45","SA_tuning_T1000_C09995","sa",""
