"timestamp","status","index","penalty","temp","cooling","iterations","seed"
"2026-04-29 11:39:46","ok","1","1000","500","0,998","50000","101"
"2026-04-29 11:39:46","ok","2","1000","500","0,998","50000","102"
"2026-04-29 11:39:47","ok","3","1000","500","0,998","50000","103"
"2026-04-29 11:39:47","ok","4","1000","500","0,998","100000","101"
"2026-04-29 11:39:48","ok","5","1000","500","0,998","100000","102"
"2026-04-29 11:39:49","ok","6","1000","500","0,998","100000","103"
"2026-04-29 11:39:49","ok","7","1000","500","0,9993","50000","101"
"2026-04-29 11:39:50","ok","8","1000","500","0,9993","50000","102"
"2026-04-29 11:39:50","ok","9","1000","500","0,9993","50000","103"
"2026-04-29 11:39:51","ok","10","1000","500","0,9993","100000","101"
"2026-04-29 11:39:52","ok","11","1000","500","0,9993","100000","102"
"2026-04-29 11:39:52","ok","12","1000","500","0,9993","100000","103"
"2026-04-29 11:39:53","ok","13","1000","500","0,9995","50000","101"
"2026-04-29 11:39:53","ok","14","1000","500","0,9995","50000","102"
"2026-04-29 11:39:54","ok","15","1000","500","0,9995","50000","103"
"2026-04-29 11:39:54","ok","16","1000","500","0,9995","100000","101"
"2026-04-29 11:39:55","ok","17","1000","500","0,9995","100000","102"
"2026-04-29 11:39:56","ok","18","1000","500","0,9995","100000","103"
"2026-04-29 11:39:56","ok","19","1000","500","0,999","50000","101"
"2026-04-29 11:39:57","ok","20","1000","500","0,999","50000","102"
"2026-04-29 11:39:57","ok","21","1000","500","0,999","50000","103"
"2026-04-29 11:39:58","ok","22","1000","500","0,999","100000","101"
"2026-04-29 11:39:59","ok","23","1000","500","0,999","100000","102"
"2026-04-29 11:39:59","ok","24","1000","500","0,999","100000","103"
"2026-04-29 11:40:00","ok","25","1000","1000","0,998","50000","101"
"2026-04-29 11:40:00","ok","26","1000","1000","0,998","50000","102"
"2026-04-29 11:40:01","ok","27","1000","1000","0,998","50000","103"
"2026-04-29 11:40:01","ok","28","1000","1000","0,998","100000","101"
