iter,best_objective
1,3730.6876135644375
2,3653.611914431871
3,3577.5014485492848
4,3510.463258039723
5,3447.1532951174017
6,3385.691197428678
7,3324.7141562505462
8,3263.8305639370287
9,3203.8508798600496
10,3144.3370924040946
11,3085.347775557042
12,3027.134639055077
13,2969.4674866042433
14,2917.0471182509323
15,2866.196681623641
16,2818.2692032897276
17,2770.3993930394795
18,2723.0383683393698
19,2676.4028689697957
20,2630.814905006763
21,2588.4920470692778
22,2546.304522233621
23,2505.0741511577935
24,2464.94567194168
25,2425.389130741099
26,2386.7766838376083
27,2350.068084603447
28,2314.317232895056
29,2281.050177303397
30,2250.0768401340883
31,2223.0575595068653
32,2199.068788189725
33,2176.1374531956603
34,2153.6095056724503
35,2131.148745095526
36,2105.965623715851
37,2070.6807332278104
38,2048.411171120272
39,2026.1603804295198
40,2004.6833283621975
41,1983.9491365094011
42,1963.7284371190253
43,1944.722975113718
44,1926.0191315788406
45,1908.9528718694874
46,1892.6190659682788
47,1876.4217104617692
48,1846.4217104617692
49,1830.2522451715163
50,1786.056763753525
51,1770.0861627760278
52,1754.2617737768214
53,1720.6312657882577
54,1706.363264408088
55,1693.6902549143324
56,1681.2783613548702
57,1650.838901082159
58,1639.3005029704796
59,1623.76242498172
60,1613.3959380808217
61,1557.7909220163647
62,1547.5280440738547
63,1537.3549171905795
64,1527.4397587228102
65,1513.919664338971
66,1493.4910445499602
67,1480.9479945191813
68,1471.0625793478655
69,1461.3231457317495
70,1435.1428058442505
71,1412.7821260692526
72,1403.8378541592533
73,1395.5974091835187
74,1390.9678731650292
75,1386.4533444498115
76,1382.3515024533933
77,1377.9518483808731
78,1374.4078015418092
79,1371.686685796603
80,1364.2000172220075
81,1346.8324560485817
82,1336.2877507545834
83,1333.7157232721827
84,1331.4802042560532
85,1320.3886088028926
86,1317.7164250297928
87,1315.665861384416
88,1314.2441775737427
89,1303.2088434180432
90,1284.3741486242911
91,1282.9731190428463
92,1281.7997540371791
93,1272.1385037698594
94,1258.7118913016548
95,1246.8378718873366
96,1245.8001369254218
97,1234.903076516875
98,1227.3277492339655
99,1218.3834773239664
100,1212.0942764699735
101,1208.0215745831429
102,1207.0980741220135
103,1206.0480898150322
104,1204.2407934027437
105,1203.481147677612
106,1203.0420687323274
107,1202.7195932210975
108,1202.6887390583202
109,1202.6887390583202
110,1202.6887390583202
