enforce_time_windows,count,feasible_count,feasibility_rate_pct,best_distance_min,best_distance_mean,best_distance_std,runtime_ms_mean,runtime_ms_median,solutions_evaluated_mean
"(False,)",119,0,0.0,873.5485090484924,1167.872773205462,256.2018293535959,710841.4201680672,96.0,102093320.29411764
"(True,)",16,16,100.0,1176.1485692085123,1752.9370795789714,279.67470768188144,220319.5,169244.0,172008876.5
