instance,count,feasible_count,feasibility_rate_pct,best_distance_min,best_distance_mean,best_distance_std,runtime_ms_mean,runtime_ms_median,solutions_evaluated_mean
"('data101.vrp',)",131,12,9.16030534351145,873.5485090484924,1234.6658288377312,324.3207900540828,665731.0610687023,103.0,108898445.77862595
"('data111.vrp',)",2,2,100.0,1176.1485692085123,1249.4834109642773,103.71112780548756,169184.0,169184.0,159786243.0
"('data201.vrp',)",2,2,100.0,1311.896031366104,1391.8314425211047,113.04574256927187,283052.0,283052.0,157989128.0
