algorithm,count,feasible_count,feasibility_rate_pct,best_distance_min,best_distance_mean,best_distance_std,runtime_ms_mean,runtime_ms_median,solutions_evaluated_mean
all,135.0,16.0,11.851851851851851,873.5485090484924,1237.213728034915,320.28924497613576,652705.4888888889,103.0,110379608.43703704
"('sa',)",72.0,8.0,11.11111111111111,938.9377983786368,1272.0812278308117,305.96031462762187,85.69444444444444,86.0,30001.0
"('tabu',)",63.0,8.0,12.698412698412698,873.5485090484924,1197.3651568396049,333.90199089455075,1398556.6825396826,262631.0,236493445.5079365
