instance,enforce_time_windows,algorithm,count,feasible_count,feasibility_rate_pct,best_distance_min,best_distance_mean,best_distance_std,runtime_ms_mean,runtime_ms_median,solutions_evaluated_mean
data101.vrp,False,sa,64,0,0.0,938.9377983786368,1200.7226869426922,223.51206611326677,82.484375,85.0,30001.0
data101.vrp,False,tabu,55,0,0.0,873.5485090484924,1129.647419038504,287.0245416378669,1537906.3636363635,260853.0,220857910.01818183
data101.vrp,True,sa,6,6,100.0,1855.7016539670497,1991.5018888483303,71.22412973519035,119.16666666666667,103.0,30001.0
data101.vrp,True,tabu,6,6,100.0,1790.1554748289773,1802.5587055337994,8.840944631711043,436654.1666666667,416012.5,352735212.6666667
data111.vrp,True,sa,1,1,100.0,1322.8182527200422,1322.8182527200422,,79.0,79.0,30001.0
data111.vrp,True,tabu,1,1,100.0,1176.1485692085123,1176.1485692085123,,338289.0,338289.0,319542485.0
data201.vrp,True,sa,1,1,100.0,1471.7668536761057,1471.7668536761057,,97.0,97.0,30001.0
data201.vrp,True,tabu,1,1,100.0,1311.896031366104,1311.896031366104,,566007.0,566007.0,315948255.0
