iter,best_objective
1,2101.45095114995
2,2090.655651548249
3,2068.0598332109157
4,2068.0598332109157
5,2068.0598332109157
6,2068.0598332109157
7,2065.620952153334
8,2059.2331318072665
9,2059.2331318072665
10,2058.5501570710285
11,2054.9109154654925
12,2054.9109154654925
13,2042.728243115499
14,2037.8821736179882
15,2037.8821736179882
16,2037.8821736179882
17,2037.8821736179882
18,2037.8821736179882
19,2037.8821736179882
20,2037.8821736179882
21,2033.5092700376736
22,2033.5092700376736
23,2023.5745526654289
24,2023.5745526654289
25,2023.5745526654289
26,2022.215017023366
27,2019.2380821119068
28,2016.0788678345498
29,2015.9763442991773
30,2015.9763442991773
31,2010.8577657075348
32,2010.8577657075348
33,2010.8577657075348
34,2010.8577657075348
35,2010.8577657075348
36,2010.8577657075348
37,2007.921203463596
38,2004.470034010643
39,2004.470034010643
40,2004.470034010643
41,1996.4392425122649
42,1996.4392425122649
43,1996.4392425122649
44,1989.7991740123812
45,1989.7847953407938
46,1978.326822504436
47,1977.7064214884435
48,1966.4812801577095
49,1956.3609092035665
50,1956.3609092035665
51,1952.4456950112758
52,1945.9878572450953
53,1945.9878572450953
54,1935.8367603046643
55,1935.8367603046643
56,1935.8367603046643
57,1932.810080225085
58,1931.7185584052975
59,1922.4485024814453
60,1910.0667323718744
61,1905.7544770525465
62,1905.7544770525465
63,1894.1673882086225
64,1893.3930141568637
65,1893.1453445784464
66,1885.301051805147
67,1885.301051805147
68,1885.301051805147
69,1884.356283762509
70,1876.2257874323627
71,1876.2257874323627
72,1857.4309557705205
73,1846.7871034494692
74,1846.787103449469
75,1840.266917033116
76,1840.266917033116
77,1840.266917033116
78,1833.3788545320324
79,1833.3788545320324
80,1833.3788545320324
81,1833.3788545320324
82,1833.3788545320324
83,1833.3788545320324
84,1833.3788545320324
85,1833.3788545320324
86,1833.3788545320324
87,1824.4948062998742
88,1824.4948062998742
89,1824.4948062998742
90,1824.4948062998742
91,1824.4948062998742
92,1824.4948062998742
93,1824.4948062998742
94,1824.4948062998742
95,1824.4948062998742
96,1824.4948062998742
97,1824.4948062998742
98,1809.3933147294688
99,1808.2709310305788
100,1808.2709310305788
101,1808.0897308177798
102,1808.0897308177798
103,1808.0897308177798
104,1801.713282880347
105,1799.3892856444593
106,1799.3892856444593
107,1796.0022718304717
108,1787.8903343136667
109,1787.8903343136667
110,1787.8903343136667
111,1787.8903343136667
112,1787.8903343136667
113,1787.8903343136667
114,1787.8903343136667
115,1787.8903343136667
116,1787.8903343136667
117,1787.8903343136667
118,1787.8903343136667
119,1787.8903343136667
120,1787.8903343136667
121,1787.8903343136667
122,1787.8903343136667
123,1787.8903343136667
124,1787.8903343136667
125,1787.8903343136667
126,1787.8903343136667
127,1787.8903343136667
128,1787.8903343136667
129,1787.8903343136667
130,1787.8903343136667
131,1787.8903343136667
132,1787.8903343136667
133,1787.8903343136667
134,1787.8903343136667
135,1787.8903343136667
136,1787.8903343136667
137,1787.8903343136667
138,1787.8903343136667
139,1787.8903343136667
140,1787.8903343136667
141,1787.8903343136667
142,1787.8903343136667
143,1787.8903343136667
144,1787.8903343136667
145,1787.8903343136667
146,1787.8903343136667
147,1787.8903343136667
148,1787.8903343136667
149,1787.8903343136667
150,1777.6567253012115
151,1777.6567253012115
152,1777.6567253012115
153,1772.803429911719
154,1772.803429911719
155,1763.960146711389
156,1756.417237120575
157,1756.417237120575
158,1756.417237120575
159,1756.417237120575
160,1756.417237120575
161,1756.417237120575
162,1756.417237120575
163,1756.417237120575
164,1756.417237120575
165,1756.417237120575
166,1756.417237120575
167,1756.417237120575
168,1756.417237120575
169,1756.417237120575
170,1756.417237120575
171,1756.417237120575
172,1756.417237120575
173,1756.417237120575
174,1756.417237120575
175,1756.417237120575
176,1756.417237120575
177,1756.417237120575
178,1756.417237120575
179,1756.417237120575
180,1756.417237120575
181,1756.417237120575
182,1756.417237120575
183,1756.417237120575
184,1756.417237120575
185,1756.417237120575
186,1756.417237120575
