iter,best_objective
1,4349.03206598944
2,4313.529450370399
3,4304.354152211871
4,4252.287029857244
5,4242.332686991963
6,4235.244247456715
7,4198.489267313074
8,4164.120312245085
9,4131.34283317877
10,4084.6109895051172
11,4056.933387109963
12,4048.721442183796
13,3995.8714664592094
14,3950.4744968395394
15,3919.951774263396
16,3861.70256988752
17,3800.9584944012413
18,3771.277211638737
19,3760.7031659184104
20,3707.921924594573
21,3692.271699157121
22,3669.052828073641
23,3635.0905358136383
24,3633.0990947650585
25,3633.0990947650585
26,3617.733765050948
27,3582.0881225265725
28,3542.746434531454
29,3516.3247175491474
30,3466.808079419346
31,3435.580993598873
32,3367.646488633636
33,3306.2382934547873
34,3280.5328656461265
35,3258.6101425314905
36,3227.447707333387
37,3191.7371293738456
38,3159.017860953907
39,3152.584929568701
40,3142.457315560632
41,3119.829898562663
42,3119.829898562663
43,3119.829898562663
44,3103.2842753342807
45,3096.2385034634826
46,3091.5798195172033
47,3037.538191426023
48,3034.3992241615165
49,3034.3992241615165
50,3004.3956710851944
51,2967.322261449636
52,2967.322261449636
53,2967.322261449636
54,2960.4975226839288
55,2960.4975226839288
56,2956.9541140294637
57,2956.9541140294637
58,2935.6984735290566
59,2918.0040681845994
60,2880.241510376182
61,2873.960301845862
62,2867.003636937843
63,2850.1632333120147
64,2831.2170201880344
65,2806.046725594447
66,2787.455586949709
67,2776.036989612843
68,2748.938533165828
69,2722.1535813900746
70,2718.167030985455
71,2712.5804409258512
72,2712.477917390479
73,2702.1467211261524
74,2702.1467211261524
75,2698.110562391232
76,2684.032822254192
77,2678.8412165368386
78,2674.5754009391094
79,2656.831231394216
80,2656.831231394216
81,2627.449490248666
82,2627.449490248666
83,2627.449490248666
84,2621.0230614424986
85,2620.409321630769
86,2620.409321630769
87,2605.8164079163575
88,2605.8164079163575
89,2605.8164079163575
90,2605.8164079163575
91,2605.8164079163575
92,2605.8164079163575
93,2605.8164079163575
94,2605.8164079163575
95,2605.8164079163575
96,2605.8164079163575
97,2605.8164079163575
98,2605.8164079163575
99,2605.8164079163575
100,2605.8164079163575
101,2605.8164079163575
102,2605.8164079163575
103,2605.8164079163575
104,2605.8164079163575
105,2605.8164079163575
106,2605.8164079163575
107,2605.8164079163575
108,2605.8164079163575
109,2605.8164079163575
110,2605.8164079163575
111,2605.8164079163575
112,2605.8164079163575
113,2605.8164079163575
114,2587.9009016838863
115,2581.844119194669
116,2581.844119194669
117,2567.4145417645263
118,2549.2765927272467
119,2532.8090450424997
120,2532.8090450424997
121,2532.8090450424997
122,2532.8090450424997
123,2532.8090450424997
124,2532.8090450424997
125,2532.8090450424997
126,2532.8090450424997
127,2532.8090450424997
128,2532.8090450424997
129,2532.8090450424997
130,2532.8090450424997
131,2532.8090450424997
132,2532.8090450424997
133,2532.8090450424997
134,2532.8090450424997
135,2532.8090450424997
136,2532.8090450424997
137,2532.8090450424997
138,2532.8090450424997
139,2532.8090450424997
