iter,best_objective
1,4493.315721001221
2,4414.020336180824
3,4336.297679570751
4,4262.315792673946
5,4194.381287708709
6,4127.356181018967
7,4063.855990535962
8,4002.0790954977674
9,3940.670900318918
10,3879.8375383170296
11,3821.4841935973805
12,3763.2894800108597
13,3705.979762267379
14,3651.571644799537
15,3598.9547548970368
16,3546.9988746146987
17,3496.0477173408476
18,3445.460110951892
19,3395.37294404468
20,3345.4255253423175
21,3291.8336597605307
22,3243.4733656325293
23,3196.783999870367
24,3151.873785686875
25,3107.0018574608653
26,3062.288611603802
27,3018.828798258092
28,2976.4893694915468
29,2934.5472928197837
30,2893.03586924426
31,2853.6334474807068
32,2814.2541368988072
33,2776.1585037607324
34,2738.643947115635
35,2701.970203875317
36,2665.303968388998
37,2629.2820585832956
38,2593.822824418525
39,2558.4589493038843
40,2523.4688587892347
41,2489.165994630203
42,2456.1579314084206
43,2424.8704730165323
44,2394.3477437351653
45,2365.270337364637
46,2334.7492121351265
47,2305.937046396148
48,2277.440392870863
49,2254.6278643706937
50,2232.0513944811046
51,2209.7663881720355
52,2190.2570644780726
53,2172.512894933179
54,2156.287302302573
55,2137.7306627528487
56,2121.9192744520074
57,2109.150289617738
58,2097.084628825061
59,2086.4802045115857
60,2076.59478934027
61,2069.00457124607
62,2061.606339061221
63,2051.8335466085186
64,2044.833574943483
65,2035.5765407803467
66,2029.3727314523774
67,2013.1362368475911
68,2008.4001978600472
69,1998.4497341615586
70,1988.6587318710715
71,1984.3717776595886
72,1971.8038444867248
73,1962.043700281838
74,1952.4630614988278
75,1941.0613072478363
76,1931.9988500970553
77,1912.769219978061
78,1910.0652996928732
79,1907.8630499121996
80,1902.2273566210854
81,1899.5750509943775
82,1897.5906672658216
83,1886.2874267716352
84,1884.438209086813
85,1869.6573269168196
86,1856.7309368696503
87,1850.50184843247
88,1846.436405453757
89,1845.021805907231
90,1828.5371781088559
91,1805.3938092459578
92,1804.8786016001918
93,1804.5016600264069
94,1784.1639713401305
95,1779.131250321826
96,1755.82531822056
97,1755.5376222971724
98,1755.5376222971724
99,1755.5376222971724
100,1755.5376222971724
