iter,best_objective
1,3610.8569248591702
2,3610.8569248591702
3,3610.8569248591702
4,3610.8569248591702
5,3610.8569248591702
6,3610.8569248591702
7,3610.8569248591702
8,3610.8569248591702
9,3610.8569248591702
10,3610.8569248591702
11,3610.8569248591702
12,3603.7075264446303
13,3596.4602156717756
14,3596.4602156717756
15,3596.4602156717756
16,3596.4602156717756
17,3596.4602156717756
18,3596.4602156717756
19,3569.684437499327
20,3569.684437499327
21,3569.684437499327
22,3569.684437499327
23,3544.14693101573
24,3544.14693101573
25,3544.14693101573
26,3544.14693101573
27,3544.14693101573
28,3544.14693101573
29,3544.14693101573
30,3544.14693101573
31,3544.14693101573
32,3544.14693101573
33,3544.14693101573
34,3544.14693101573
35,3544.14693101573
36,3544.14693101573
37,3544.14693101573
38,3544.14693101573
39,3544.14693101573
40,3544.14693101573
41,3541.883387961917
42,3541.883387961917
43,3541.883387961917
44,3541.883387961917
45,3541.883387961917
46,3541.883387961917
47,3541.883387961917
48,3541.883387961917
49,3541.883387961917
50,3541.883387961917
51,3541.883387961917
52,3541.883387961917
53,3530.1513559551286
54,3530.1513559551286
55,3530.1513559551286
56,3530.1513559551286
57,3530.1513559551286
58,3530.1513559551286
59,3530.1513559551286
60,3530.1513559551286
61,3530.1513559551286
62,3530.1513559551286
63,3530.1513559551286
64,3530.1513559551286
65,3530.1513559551286
66,3530.1513559551286
67,3530.1513559551286
68,3530.1513559551286
69,3530.1513559551286
70,3530.1513559551286
71,3530.1513559551286
72,3530.1513559551286
73,3530.1513559551286
74,3530.1513559551286
75,3530.1513559551286
76,3530.1513559551286
77,3530.1513559551286
78,3530.1513559551286
79,3530.1513559551286
80,3530.1513559551286
81,3530.1513559551286
82,3530.1513559551286
83,3530.1513559551286
84,3530.1513559551286
85,3530.1513559551286
86,3530.1513559551286
87,3530.1513559551286
88,3530.1513559551286
89,3530.1513559551286
90,3530.1513559551286
91,3530.1513559551286
92,3530.1513559551286
93,3530.1513559551286
94,3530.1513559551286
95,3530.1513559551286
96,3530.1513559551286
97,3530.1513559551286
98,3530.1513559551286
99,3530.1513559551286
100,3530.1513559551286
101,3530.1513559551286
102,3530.1513559551286
103,3530.1513559551286
104,3530.1513559551286
105,3530.1513559551286
106,3530.1513559551286
107,3530.1513559551286
108,3530.1513559551286
109,3530.1513559551286
110,3530.1513559551286
111,3530.1513559551286
112,3530.1513559551286
113,3530.1513559551286
114,3530.1513559551286
115,3530.1513559551286
116,3530.1513559551286
117,3530.1513559551286
118,3530.1513559551286
119,3530.1513559551286
120,3530.1513559551286
121,3530.1513559551286
122,3530.1513559551286
123,3530.1513559551286
124,3530.1513559551286
125,3530.1513559551286
126,3530.1513559551286
127,3530.1513559551286
128,3530.1513559551286
129,3530.1513559551286
130,3530.1513559551286
131,3530.1513559551286
132,3530.1513559551286
133,3530.1513559551286
134,3530.1513559551286
135,3530.1513559551286
136,3530.1513559551286
137,3530.1513559551286
138,3530.1513559551286
139,3530.1513559551286
140,3530.1513559551286
141,3530.1513559551286
142,3530.1513559551286
143,3530.1513559551286
144,3530.1513559551286
145,3530.1513559551286
146,3530.1513559551286
147,3530.1513559551286
148,3530.1513559551286
149,3530.1513559551286
150,3530.1513559551286
151,3530.1513559551286
152,3530.1513559551286
153,3529.8347109825754
154,3490.2924398221962
155,3490.2924398221962
156,3490.2924398221962
157,3490.2924398221962
158,3490.2924398221962
